frame,bicubic_psnr_db,bicubic_ssim,original_fsrcnn_s_psnr_db,original_fsrcnn_s_ssim,team_light_int8_psnr_db,team_light_int8_ssim
0,39.08330591473764,0.9905627171984289,39.498662400884726,0.989923250834663,39.44666203161906,0.9817097008898584
1,39.70454207444524,0.9902235769176299,40.05643013232251,0.9896321347467754,39.92635126169376,0.9822709642412916
2,40.12702125641071,0.9906540015692765,40.444939999929844,0.9903057967714429,40.23375781005571,0.9832855128894469
3,41.251707254299276,0.993935994392832,41.42880270501681,0.9927771651789664,41.1523198355809,0.9848701711284903
4,41.08423924148266,0.9935657678776706,41.26018109027794,0.9922742228411973,40.97023501447098,0.9840223070036581
5,40.79801071194869,0.9933825367598,40.98963409145667,0.9919783394612052,40.7281250502264,0.9841212518906514
6,39.61824308146736,0.9935202568067357,39.91533215411837,0.9923104494032516,39.77592668348415,0.9866756489470707
7,39.961246511023,0.993260208165327,40.22359228912862,0.9921028978598682,40.05206557327158,0.9862692855209335
8,40.384171258037085,0.9933038388401002,40.52323548080733,0.9920048342209455,40.25178791064528,0.9858988850300264
9,41.52858233505781,0.9934393122969098,41.736121109719264,0.9928266647012005,41.32271600558295,0.9818257422528894
10,41.55408443374007,0.9930250660557125,41.76599033958725,0.992480573637257,41.371677571956425,0.9818456314714371
11,41.5315820906907,0.9927584015233829,41.73940652314777,0.9921164879665592,41.35393083358129,0.9816679601179488
12,39.12087452650561,0.9934007551526012,39.41267749118108,0.991820397043658,39.28814447689798,0.9857063490650065
13,38.764386051188325,0.9930555730503222,39.06668610586665,0.9913136860192597,38.94241613773238,0.9848729937665256
14,39.116671621408436,0.9936060731727615,39.431677063424274,0.9920043787005471,39.29320086620151,0.9852218362468612
AVERAGE,40.24191122416284,0.9927796053186329,40.49955793179127,0.9917247519591198,40.273954470866684,0.9840176160308065
